keyword,document_frequency,idf
dryness,21,8.8298
drysdales,1,11.2273
drzewiecki,1,11.2273
dselsdag,1,11.2273
du,100,7.3071
duality,1,11.2273
duane,9,9.618
duarte,3,10.5342
dub,18,8.9763
dubai,11,9.4357
dubais,11,9.4357
dubbed,18,8.9763
dubble,1,11.2273
dubious,1,11.2273
dublin,10,9.5227
dubois,2,10.8218
dubose,1,11.2273
dubrovnik,1,11.2273
dubuque,1,11.2273
duc,3,10.5342
duce,3,10.5342
ducentesima,1,11.2273
duchamp,2,10.8218
duchess,4,10.3111
duchovny,3,10.5342
duchy,1,11.2273
duck,31,8.4552
ducke,31,8.4552
duckett,1,11.2273
duckie,4,10.3111
duckin,1,11.2273
duckling,2,10.8218
ducklings,2,10.8218
ducks,31,8.4552
duckworth,1,11.2273
duct,1,11.2273
ductile,1,11.2273
dud,13,9.2816
dude,13,9.2816
dudelange,1,11.2273
dudes,13,9.2816
dudley,11,9.4357
dudleys,11,9.4357
due,100,7.3071
duel,11,9.4357
dueling,11,9.4357
duero,1,11.2273
dues,100,7.3071
duesenberg,1,11.2273
duet,24,8.702
duets,24,8.702
duetted,24,8.702
dufek,1,11.2273
duff,27,8.5887
duffers,1,11.2273
duffs,27,8.5887
duffy,1,11.2273
dufresne,5,10.1288
dug,3,10.5342
dugalle,1,11.2273
dugrey,1,11.2273
duhamel,1,11.2273
duiker,1,11.2273
dujardins,1,11.2273
duk,84,7.4793
duke,84,7.4793
dukes,84,7.4793
dulang,1,11.2273
dulcimer,1,11.2273
dule,1,11.2273
dull,1,11.2273
duluth,1,11.2273
dum,3,10.5342
duma,8,9.7233
dumas,8,9.7233
dumass,1,11.2273
dumb,6,9.9746
dumbbell,1,11.2273
dumber,3,10.5342
dumbfounded,1,11.2273
dumbledore,25,8.6628
dumbledores,25,8.6628
dumbo,2,10.8218
dumbwaiter,1,11.2273
dummy,3,10.5342
dumont,1,11.2273
dump,6,9.9746
dumping,6,9.9746
dumpling,3,10.5342
dumplings,3,10.5342
dumps,6,9.9746
dumpty,1,11.2273
dunaway,2,10.8218
dunbar,1,11.2273
duncan,7,9.8411
dunce,1,11.2273
dundee,4,10.3111
dunder,3,10.5342
dundies,1,11.2273
dune,3,10.5342
dunes,3,10.5342
dung,1,11.2273
dungeons,10,9.5227
dunk,5,10.1288
dunkirk,2,10.8218
dunlop,2,10.8218
dunn,3,10.5342
dunns,3,10.5342
dunst,2,10.8218
dunster,1,11.2273
dunwich,1,11.2273
duo,64,7.7472
duodenal,1,11.2273
duodenum,2,10.8218
duos,64,7.7472
dupin,1,11.2273
duprie,1,11.2273
duquette,1,11.2273
dura,1,11.2273
durable,1,11.2273
duran,13,9.2816
durante,2,10.8218
duration,4,10.3111
durbervilles,1,11.2273
durch,1,11.2273
durden,3,10.5342
durer,2,10.8218
durham,10,9.5227
durin,1,11.2273
during,784,5.2688
durong,1,11.2273
durrow,1,11.2273
dursley,5,10.1288
dursleys,5,10.1288
durutti,1,11.2273
durza,1,11.2273
dusclops,1,11.2273
dushanbe,2,10.8218
dushku,2,10.8218
dusk,2,10.8218
duskinoir,1,11.2273
dusky,1,11.2273
dusseldorf,1,11.2273
dust,19,8.925
dustfinger,2,10.8218
dustin,30,8.487
dusty,7,9.8411
dutch,60,7.8106
dutchess,1,11.2273
dutchie,1,11.2273
dutching,60,7.8106
dutchman,1,11.2273
duties,18,8.9763
duty,18,8.9763
duvalier,1,11.2273
duvall,17,9.0304
duvalls,17,9.0304
dv,1,11.2273
dvd,7,9.8411
dvds,7,9.8411
dvi,1,11.2273
dvo,1,11.2273
dvorak,2,10.8218
dw,1,11.2273
dwarf,17,9.0304
dwarfs,17,9.0304
dwayne,9,9.618
dwaynes,9,9.618
dweeb,1,11.2273
dweezil,2,10.8218
dwellers,1,11.2273
dwelling,5,10.1288
dwellings,5,10.1288
dwells,5,10.1288
dwight,43,8.137
dwights,43,8.137
dwyane,1,11.2273
dy,23,8.7428
dyagilev,1,11.2273
dybbuk,1,11.2273
dybinski,1,11.2273
dydek,1,11.2273
dye,23,8.7428
dyed,23,8.7428
dyeing,23,8.7428
dying,23,8.7428
dyke,27,8.5887
dyker,1,11.2273
dylan,25,8.6628
dylans,25,8.6628
dyn,1,11.2273
dynamene,1,11.2273
dynamic,5,10.1288
dynamics,5,10.1288
dynamite,43,8.137
dynamo,3,10.5342
dynamosaurus,2,10.8218
dynastic,1,11.2273
dynasty,34,8.3657
dysentery,2,10.8218
dysfunctional,3,10.5342
dyslexia,2,10.8218
dyslexic,2,10.8218
dysmorphic,1,11.2273
dysmorphophobia,1,11.2273
dyspepsia,2,10.8218
dysphagia,1,11.2273
dystopian,4,10.3111
dystrophy,1,11.2273
dystychiphobia,2,10.8218
dysuria,1,11.2273
dzhumitra,1,11.2273
dziga,1,11.2273
dzus,1,11.2273
e,165,6.8114
e1,2,10.8218
ea,2,10.8218
each,131,7.04
eadweard,1,11.2273
eagan,2,10.8218
eager,1,11.2273
eagerly,1,11.2273
eagle,60,7.8106
eaglebutte,1,11.2273
eagles,60,7.8106
ear,35,8.3375
earache,2,10.8218
eardrum,1,11.2273
eared,35,8.3375
earhart,2,10.8218
earl,35,8.3375
earle,35,8.3375
earles,35,8.3375
earlier,167,6.7995
earliest,29,8.5197
earls,35,8.3375
early,167,6.7995
earn,52,7.9511
earned,52,7.9511
earnest,3,10.5342
earnhardt,25,8.6628
earnhardts,25,8.6628
earning,52,7.9511
earnshaw,1,11.2273
earp,6,9.9746
earps,6,9.9746
earrings,35,8.3375
ears,35,8.3375
earshot,1,11.2273
earth,239,6.4441
eartha,1,11.2273
earthenware,2,10.8218
earthling,1,11.2273
earthly,2,10.8218
earthquake,34,8.3657
earthquakes,34,8.3657
earthrace,1,11.2273
earths,239,6.4441
earthworm,9,9.618
earthworms,9,9.618
eas,2,10.8218
easden,1,11.2273
ease,4,10.3111
easier,36,8.3102
easily,18,8.9763
easing,4,10.3111
east,90,7.4112
eastenders,1,11.2273
easter,20,8.8763
eastern,84,7.4793
easternmost,1,11.2273
eastland,1,11.2273
easton,2,10.8218
eastside,3,10.5342
eastward,1,11.2273
eastwick,2,10.8218
eastwood,22,8.7853
eastwoods,22,8.7853
easy,36,8.3102
easybeats,1,11.2273
eat,107,7.2402
eaten,21,8.8298
eatenton,1,11.2273
eater,11,9.4357
eaters,11,9.4357
eating,107,7.2402
eats,107,7.2402
eau,1,11.2273
eb,2,10.8218
eb2,1,11.2273
ebanista,1,11.2273
ebay,1,11.2273
ebb,2,10.8218
ebbinghaus,2,10.8218
ebenezer,5,10.1288
eberhart,1,11.2273
ebners,1,11.2273
ebola,1,11.2273
ebonics,1,11.2273
ebony,2,10.8218
ebro,1,11.2273
ebsen,2,10.8218
eca,1,11.2273
ecbatana,1,11.2273
eccentric,17,9.0304
ecclesiastical,1,11.2273
ecclesiophobia,1,11.2273
eccrine,1,11.2273
ecdysiast,1,11.2273
ecdysone,1,11.2273
echidna,8,9.7233
echidnas,8,9.7233
echizens,1,11.2273
echnaton,1,11.2273
echo,10,9.5227
ecija,1,11.2273
eckersley,1,11.2273
eckhouse,1,11.2273
eckland,1,11.2273
eckstein,1,11.2273
eclampsia,1,11.2273
eclectic,3,10.5342
eclipse,8,9.7233
ecliptic,3,10.5342
eco,5,10.1288
ecole,1,11.2273
ecological,7,9.8411
ecologies,7,9.8411
ecologists,1,11.2273
ecology,7,9.8411
economic,32,8.4245
economically,32,8.4245
economics,32,8.4245
economist,8,9.7233
economists,8,9.7233
economy,7,9.8411
ecopod,1,11.2273
ecosystems,2,10.8218
ecotone,1,11.2273
ecstasy,1,11.2273
ecstatic,1,11.2273
ectasian,1,11.2273
ectoparasite,2,10.8218
ectoparasites,2,10.8218
ectosphere,1,11.2273
ecuador,16,9.0875
ecuadorian,1,11.2273
ecutioner,1,11.2273
ed,42,8.16
edam,1,11.2273
edaphic,1,11.2273
edar,1,11.2273
edd,2,10.8218
eddie,78,7.5524
eddies,78,7.5524
eddings,42,8.16
eddy,78,7.5524
eddys,78,7.5524
edeas,1,11.2273
edelweiss,1,11.2273
eden,7,9.8411
edgar,36,8.3102
edge,18,8.9763
edgecomb,3,10.5342
edgecombe,3,10.5342
edged,18,8.9763
edgerank,1,11.2273
edges,18,8.9763
edible,9,9.618
edict,2,10.8218
edie,3,10.5342
edilnord,1,11.2273
edinburgh,15,9.1481
edison,19,8.925
edith,7,9.8411
editing,14,9.2126
edition,14,9.2126
editions,14,9.2126
editor,13,9.2816
editors,13,9.2816
edlund,1,11.2273
edm,1,11.2273
edmond,5,10.1288
edmonston,1,11.2273
edmonton,5,10.1288
edmund,14,9.2126
edna,7,9.8411
edo,2,10.8218
edouard,1,11.2273
edouart,2,10.8218
eds,42,8.16
edsel,1,11.2273
edsger,4,10.3111
edson,4,10.3111
eduard,2,10.8218
educate,39,8.2322
educated,39,8.2322
education,39,8.2322
educational,39,8.2322
educator,39,8.2322
edvard,1,11.2273
edvin,1,11.2273
edward,128,7.0629
edwards,128,7.0629
edwin,12,9.3557
ee,1,11.2273
eeg,1,11.2273
eel,5,10.1288
eelet,1,11.2273
eeling,5,10.1288
eenie,1,11.2273
efes,2,10.8218
effect,78,7.5524
effected,78,7.5524
effective,78,7.5524
effectively,78,7.5524
effects,78,7.5524
efficiency,6,9.9746
efficient,6,9.9746
efficiently,6,9.9746
effie,3,10.5342
effort,11,9.4357
efforts,11,9.4357
effron,1,11.2273
efrem,1,11.2273
efren,2,10.8218
efron,2,10.8218
egan,1,11.2273
egg,97,7.3372
egghead,3,10.5342
eggnog,1,11.2273
eggplant,1,11.2273
eggs,97,7.3372
eggshell,2,10.8218
eglanteria,1,11.2273
ego,13,9.2816
egoism,13,9.2816
egon,1,11.2273
egos,13,9.2816
egotistical,1,11.2273
egrets,1,11.2273
eguchi,1,11.2273
egypt,86,7.4561
egyptian,57,7.861
egyptians,57,7.861
egyptologists,1,11.2273
egypts,86,7.4561
ehdita,1,11.2273
ehe,1,11.2273
ehf,1,11.2273
ehrlich,3,10.5342
ehv,1,11.2273
eichman,1,11.2273
eiffel,8,9.7233
eight,57,7.861
eighteen,3,10.5342
eighteenth,3,10.5342
eighth,3,10.5342
eighties,5,10.1288
eighty,5,10.1288
eilat,10,9.5227
eileen,3,10.5342
ein,1,11.2273
eindhoven,1,11.2273
einhorn,1,11.2273
einstein,46,8.0711
einsteinium,2,10.8218
einsteins,46,8.0711
eire,1,11.2273
eisenach,1,11.2273
eisenberg,1,11.2273
eisenhower,19,8.925
eisenhowers,19,8.925
either,25,8.6628
eiviss,1,11.2273
ejected,4,10.3111
ejection,4,10.3111
ek,3,10.5342
ekaterina,1,11.2273
ekg,1,11.2273
ekimmu,1,11.2273
ekland,1,11.2273
eko,1,11.2273
el,45,8.0926
elaborated,1,11.2273
elaine,23,8.7428
elaineowens,1,11.2273
elaines,23,8.7428
elaphebolus,1,11.2273
elapidae,1,11.2273
elapses,1,11.2273
elasticity,1,11.2273
elasticized,1,11.2273
elbe,3,10.5342
elbert,1,11.2273
elbow,3,10.5342
elbows,3,10.5342
elbrus,2,10.8218
elburg,1,11.2273
elcaset,1,11.2273
eldar,1,11.2273
elden,1,11.2273
elder,7,9.8411
elderly,5,10.1288
eldest,11,9.4357
eldorado,1,11.2273
eldred,1,11.2273
eldrick,1,11.2273
eleanor,448,5.8215
elect,91,7.4003
electabuzz,1,11.2273
elected,91,7.4003
election,91,7.4003
elections,91,7.4003
electoral,3,10.5342
electra,1,11.2273
electric,60,7.8106
electrical,60,7.8106
electrically,60,7.8106
electrician,1,11.2273
electricity,60,7.8106
electrified,1,11.2273
electrivire,1,11.2273
electrocardiogram,1,11.2273
electroception,1,11.2273
electrocuted,4,10.3111
electrocution,4,10.3111
electrode,2,10.8218
electrodes,2,10.8218
electrodynamics,1,11.2273
electroencephalogram,1,11.2273
electrolocation,1,11.2273
electromagnetic,10,9.5227
electromagnetism,10,9.5227
electron,42,8.16
electroneutrality,1,11.2273
electronic,42,8.16
electronically,42,8.16
electronics,42,8.16
electrons,42,8.16
electrooculography,1,11.2273
electrophobia,1,11.2273
eleemosynary,1,11.2273
elegance,4,10.3111
elegant,4,10.3111
elegy,1,11.2273
eleison,1,11.2273
elektra,4,10.3111
element,86,7.4561
elemental,86,7.4561
elementary,6,9.9746
elements,86,7.4561
elena,1,11.2273
elenore,1,11.2273
eleonore,1,11.2273
elephant,65,7.7319
elephants,65,7.7319
elephas,1,11.2273
eleutherophobia,1,11.2273
elevated,18,8.9763
elevation,18,8.9763
elevator,18,8.9763
elevators,18,8.9763
eleven,16,9.0875
eleventh,3,10.5342
elf,15,9.1481
elfaba,1,11.2273
elfie,1,11.2273
elflike,1,11.2273
elfman,3,10.5342
elfs,15,9.1481
elfstones,1,11.2273
elgar,1,11.2273
eli,5,10.1288
eliab,1,11.2273
elias,6,9.9746
eliezer,1,11.2273
eligible,7,9.8411
eligius,1,11.2273
elijah,3,10.5342
eliminate,11,9.4357
eliminated,11,9.4357
elimination,11,9.4357
elinor,3,10.5342
elinors,3,10.5342
elio,2,10.8218
eliot,20,8.8763
eliots,20,8.8763
elisa,2,10.8218
elisabeth,5,10.1288
elise,2,10.8218
elisha,1,11.2273
elisheva,1,11.2273
elite,7,9.8411
elites,7,9.8411
elixir,1,11.2273
eliza,6,9.9746
elizabeth,145,6.9394
elizabethan,3,10.5342
elizabeths,145,6.9394
elizabethtown,1,11.2273
elizondo,1,11.2273
elk,4,10.3111
elkhorn,1,11.2273
elko,1,11.2273
ella,6,9.9746
ellada,1,11.2273
elle,14,9.2126
ellen,29,8.5197
ellens,29,8.5197
eller,1,11.2273
ellery,2,10.8218
elles,14,9.2126
ellesworth,1,11.2273
ellice,1,11.2273
ellie,20,8.8763
ellies,20,8.8763
ellington,14,9.2126
ellingtons,14,9.2126
elliot,15,9.1481
elliots,15,9.1481
elliott,3,10.5342
elliotts,3,10.5342
ellipse,1,11.2273
elliptical,2,10.8218
ellis,20,8.8763
elly,20,8.8763
elm,6,9.9746
elmali,1,11.2273
elmer,4,10.3111
elmo,21,8.8298
elmos,21,8.8298
elms,6,9.9746
elocution,1,11.2273
elograph,1,11.2273
eloise,2,10.8218
elongated,7,9.8411
elongation,7,9.8411
elope,3,10.5342
eloped,3,10.5342
elopes,3,10.5342
eloquence,2,10.8218
eloquent,2,10.8218
elphaba,4,10.3111
elphabas,4,10.3111
elpidio,1,11.2273
elrond,1,11.2273
elroy,2,10.8218
els,45,8.0926
elsa,2,10.8218
else,20,8.8763
elsewere,1,11.2273
elsewhere,16,9.0875
elsker,1,11.2273
elson,1,11.2273
elston,1,11.2273
elton,33,8.3947
eltz,1,11.2273
eluard,1,11.2273
elude,2,10.8218
eluding,2,10.8218
eluria,1,11.2273
elurophobia,1,11.2273
elusive,1,11.2273
elven,1,11.2273
elver,1,11.2273
elves,3,10.5342
elvin,1,11.2273
elvira,3,10.5342
elvis,95,7.3578
elviss,8,9.7233
elway,1,11.2273
elwin,1,11.2273
elwood,1,11.2273
elwyn,1,11.2273
ely,5,10.1288
elyse,2,10.8218
elysian,2,10.8218
elzie,1,11.2273
em,11,9.4357
email,3,10.5342
emanations,1,11.2273
emancipation,4,10.3111
emancipator,4,10.3111
emanuel,12,9.3557
embarass,1,11.2273
embargo,2,10.8218
embarking,1,11.2273
embarrassed,2,10.8218
embarrassment,2,10.8218
embassies,5,10.1288
embassy,5,10.1288
embedded,2,10.8218
embeds,1,11.2273
embellishing,1,11.2273
embezzle,3,10.5342
embezzled,3,10.5342
embezzlement,3,10.5342
embioptera,1,11.2273
emblazoned,2,10.8218
emblem,10,9.5227
emblematic,1,11.2273
emblems,10,9.5227
embodies,5,10.1288
embodiment,5,10.1288
embody,5,10.1288
embolus,1,11.2273
embrace,3,10.5342
embroidered,1,11.2273
embry,1,11.2273
embryo,3,10.5342
emcee,1,11.2273
emchov,1,11.2273
emedeo,1,11.2273
emelyanenko,1,11.2273
emerald,9,9.618
emeralds,9,9.618
emerged,12,9.3557
emergency,12,9.3557
emerging,12,9.3557
emerson,5,10.1288
emetophobia,2,10.8218
emf,2,10.8218
emigrate,3,10.5342
emigrated,3,10.5342
emil,5,10.1288
emile,5,10.1288
emilio,9,9.618
emily,19,8.925
emilys,19,8.925
eminem,15,9.1481
eminems,15,9.1481
eminent,1,11.2273
emirate,9,9.618
emirates,9,9.618
emissary,1,11.2273
emission,2,10.8218
emissions,2,10.8218
emit,7,9.8411
emits,7,9.8411
emitted,7,9.8411
emitting,7,9.8411
emma,17,9.0304
emmanuel,4,10.3111
emmanuelle,4,10.3111
emmas,17,9.0304
emme,1,11.2273
emmental,3,10.5342
emmerdale,1,11.2273
emmet,3,10.5342
emmett,11,9.4357
emmie,87,7.4447
emmons,2,10.8218
emmy,87,7.4447
emmylou,3,10.5342
emmys,87,7.4447
emory,1,11.2273
emote,14,9.2126
emotes,14,9.2126
emoticon,3,10.5342
emoticons,3,10.5342
emotion,14,9.2126
emotional,14,9.2126
emotionally,3,10.5342
emotions,14,9.2126
emperor,94,7.3682
emperors,94,7.3682
emphasis,2,10.8218
emphasized,4,10.3111
emphasizes,4,10.3111
emphysema,2,10.8218
empire,106,7.2495
empires,106,7.2495
empirical,106,7.2495
employ,23,8.7428
employed,23,8.7428
employee,15,9.1481
employees,15,9.1481
employer,6,9.9746
employing,23,8.7428
employment,6,9.9746
employs,23,8.7428
empolean,1,11.2273
emporer,1,11.2273
emppu,1,11.2273
empress,12,9.3557
empresses,12,9.3557
empties,15,9.1481
emptiness,15,9.1481
empty,15,9.1481
ems,11,9.4357
emu,3,10.5342
emysl,1,11.2273
en,9,9.618
enable,12,9.3557
enabled,12,9.3557
enables,12,9.3557
enabling,12,9.3557
enacted,5,10.1288
enactment,5,10.1288
enamel,2,10.8218
enamored,3,10.5342
encapsulated,1,11.2273
encased,1,11.2273
enceladus,1,11.2273
encephalon,1,11.2273
enchant,13,9.2816
enchanted,13,9.2816
enchanter,13,9.2816
enchanting,13,9.2816
enchantment,13,9.2816
enchantments,13,9.2816
enchilada,1,11.2273
encircling,1,11.2273
enclave,6,9.9746
enclose,4,10.3111
enclosed,4,10.3111
enclosing,4,10.3111
encode,1,11.2273
encompass,2,10.8218
encompasses,2,10.8218
encore,2,10.8218
encores,2,10.8218
encounter,26,8.6251
encountered,26,8.6251
encountering,26,8.6251
encounters,26,8.6251
encourage,6,9.9746
encouraged,6,9.9746
encouragement,6,9.9746
encourages,6,9.9746
encrusted,1,11.2273
encyclopedia,3,10.5342
end,440,5.8393
endangered,19,8.925
endangers,19,8.925
endearing,5,10.1288
endearment,5,10.1288
ended,440,5.8393
endemic,22,8.7853
endes,440,5.8393
endgame,2,10.8218
ending,440,5.8393
endless,5,10.1288
endocrine,6,9.9746
endocrinologist,1,11.2273
endocrinology,1,11.2273
endomembrane,1,11.2273
endoplasmic,2,10.8218
endor,1,11.2273
endora,4,10.3111
endorphins,2,10.8218
endoscope,1,11.2273
endosphere,1,11.2273
endothermic,1,11.2273
endowment,1,11.2273
endpoints,1,11.2273
ends,440,5.8393
endurance,5,10.1288
endure,5,10.1288
endured,5,10.1288
enduring,5,10.1288
enduro,1,11.2273
enemies,55,7.8961
enemy,55,7.8961
energetic,2,10.8218
energeticism,1,11.2273
energico,1,11.2273
energies,33,8.3947
energized,1,11.2273
energy,33,8.3947
enetophobia,2,10.8218
enfalac,1,11.2273
enfermero,1,11.2273
enfield,2,10.8218
enforce,4,10.3111
enforcement,4,10.3111
eng,1,11.2273
engage,37,8.2835
engaged,37,8.2835
engagement,37,8.2835
engages,37,8.2835
engaging,37,8.2835
engel,6,9.9746
engelbart,2,10.8218
engelbert,1,11.2273
engels,6,9.9746
engima,1,11.2273
engine,68,7.6875
engineer,68,7.6875
engineering,68,7.6875
engineers,68,7.6875
engines,68,7.6875
england,255,6.3798
englands,255,6.3798
engler,1,11.2273
engles,1,11.2273
englewood,2,10.8218
english,378,5.9897
englishman,1,11.2273
englishmen,1,11.2273
engraved,4,10.3111
engraving,4,10.3111
engrossed,1,11.2273
engulfed,1,11.2273
engvall,1,11.2273
engywook,1,11.2273
enhance,6,9.9746
enhanced,6,9.9746
enhancing,6,9.9746
enhydra,1,11.2273
enid,9,9.618
enigma,1,11.2273
enigmatic,4,10.3111
enjoy,19,8.925
enjoyed,19,8.925
enjoying,19,8.925
enjoys,19,8.925
enlarge,6,9.9746
enlarged,6,9.9746
enlargement,6,9.9746
enlightened,5,10.1288
enlightenment,5,10.1288
enlist,9,9.618
enlisted,9,9.618
enlists,9,9.618
enoch,2,10.8218
enochlophilia,1,11.2273
enokitake,1,11.2273
enolo,1,11.2273
enology,1,11.2273
enormous,18,8.9763
enormously,18,8.9763
enos,4,10.3111
enosiophobia,1,11.2273
enough,50,7.9895
enriches,2,10.8218
enrico,7,9.8411
enrique,3,10.5342
enrolled,2,10.8218
enrollment,2,10.8218
enron,1,11.2273
ensemble,6,9.9746
enshrined,4,10.3111
ensign,1,11.2273
ensler,1,11.2273
ensued,2,10.8218
ensues,2,10.8218
ensure,5,10.1288
ensures,5,10.1288
entangled,2,10.8218
entanglements,2,10.8218
entente,1,11.2273
enter,68,7.6875
entered,68,7.6875
entering,68,7.6875
enteroctopus,1,11.2273
enterokinase,1,11.2273
enterprise,12,9.3557
enters,68,7.6875
entertain,57,7.861
entertained,57,7.861
entertainer,57,7.861
entertainers,57,7.861
entertaining,57,7.861
entertainment,57,7.861
entertainments,57,7.861
entertains,57,7.861
enth,1,11.2273
enthroned,2,10.8218
enthusiasm,16,9.0875
enthusiastically,1,11.2273
entice,3,10.5342
entire,79,7.5398
entirely,79,7.5398
entirley,1,11.2273
entities,8,9.7233
entitled,39,8.2322
entity,8,9.7233
entombed,2,10.8218
entombment,2,10.8218
entomologist,2,10.8218
entomology,2,10.8218
entomophobia,4,10.3111
entourage,1,11.2273
entrance,7,9.8411
entrances,7,9.8411
entrapment,1,11.2273
entree,1,11.2273
entrenched,1,11.2273
entrepreneur,6,9.9746
entrepreneurs,6,9.9746
entries,17,9.0304
entry,17,9.0304
entwhistle,1,11.2273
enuff,1,11.2273
enuresis,1,11.2273
envelop,2,10.8218
envelopes,2,10.8218
enver,1,11.2273
environment,12,9.3557
environmental,3,10.5342
environmentalist,2,10.8218
environmentally,3,10.5342
environments,12,9.3557
envisioned,1,11.2273
envy,2,10.8218
enya,1,11.2273
enza,1,11.2273
enzo,1,11.2273
enzymatic,1,11.2273
enzyme,4,10.3111
enzymes,4,10.3111
eo2,1,11.2273
eocene,1,11.2273
eoin,1,11.2273
eon,2,10.8218
eoraptor,1,11.2273
eos,1,11.2273
eosophobia,1,11.2273
eowyn,1,11.2273
ep,5,10.1288
epatha,5,10.1288
epathas,5,10.1288
epathka,1,11.2273
epcot,1,11.2273
ephebiphobia,3,10.5342
ephesus,3,10.5342
ephialtes,1,11.2273
ephraim,2,10.8218
ephron,1,11.2273
epic,34,8.3657
epica,15,9.1481
epicanthus,1,11.2273
epicardium,2,10.8218
epicas,15,9.1481
epicenter,1,11.2273
epicondylitis,1,11.2273
epics,34,8.3657
epicure,1,11.2273
epicurius,1,11.2273
epidemic,6,9.9746
epidemics,6,9.9746
epidermis,1,11.2273
epididymis,1,11.2273
epilepcy,1,11.2273
epilepsy,1,11.2273
epileptic,2,10.8218
epinephrine,1,11.2273
epiparasite,1,11.2273
episcopal,1,11.2273
episdn,1,11.2273
episiode,1,11.2273
episode,601,5.531
episodes,601,5.531
episodic,601,5.531
epistaxiophobia,1,11.2273
epistemophobia,1,11.2273
epistimology,1,11.2273
epistle,4,10.3111
epistolary,3,10.5342
epitaph,5,10.1288
epithalamion,1,11.2273
epithelial,1,11.2273
epithet,2,10.8218
epithets,2,10.8218
epitome,4,10.3111
epitomized,4,10.3111
epoch,8,9.7233
epochs,8,9.7233
eponine,1,11.2273
eponym,16,9.0875
eponymous,16,9.0875
eponyms,16,9.0875
epoque,1,11.2273
epperson,1,11.2273
eps,5,10.1288
epsilon,1,11.2273
epstein,7,9.8411
equal,77,7.5651
equalitarianism,1,11.2273
equality,77,7.5651
equalization,77,7.5651
equally,77,7.5651
equals,77,7.5651
equanimity,1,11.2273
equant,77,7.5651
equation,77,7.5651
equations,77,7.5651
equator,77,7.5651
equatorial,9,9.618
equestrian,5,10.1288
equestrianism,5,10.1288
equid,1,11.2273
equilateral,2,10.8218
equilibrium,6,9.9746
equinophobia,2,10.8218
equinox,5,10.1288
equip,14,9.2126
equipment,14,9.2126
equipments,14,9.2126
equipoised,1,11.2273
equipped,14,9.2126
equivalence,25,8.6628
equivalent,25,8.6628
equivocal,1,11.2273
equivoke,1,11.2273
equivoque,1,11.2273
equus,1,11.2273
era,44,8.1146
eradication,1,11.2273
eragon,12,9.3557
erase,4,10.3111
erased,4,10.3111
eraser,4,10.3111
erasmus,2,10.8218
erb,1,11.2273
erbil,1,11.2273
erd,1,11.2273
erdos,1,11.2273
erdre,1,11.2273
erebus,1,11.2273
erect,8,9.7233
erected,8,9.7233
erection,8,9.7233
erectus,4,10.3111
ereka,2,10.8218
eremophobia,1,11.2273
ereuthrophobia,1,11.2273
erfjord,1,11.2273
ergane,1,11.2273
ergophobia,1,11.2273
erhard,2,10.8218
eric,74,7.6043
erica,5,10.1288
erich,5,10.1288
erichon,1,11.2273
erichs,5,10.1288
erick,1,11.2273
ericksson,1,11.2273
erics,74,7.6043
ericsson,1,11.2273
eridani,1,11.2273
erie,6,9.9746
erik,3,10.5342
erika,3,10.5342
erikson,1,11.2273
eriksson,2,10.8218
erin,7,9.8411
eriphile,1,11.2273
eris,6,9.9746
erised,1,11.2273
eritrea,4,10.3111
erlang,1,11.2273
erle,2,10.8218
erlendur,1,11.2273
ermakov,1,11.2273
ermey,1,11.2273
ermine,2,10.8218
ermolova,1,11.2273
ernest,57,7.861
ernesto,3,10.5342
ernie,11,9.4357
erno,1,11.2273
ernohorsk,1,11.2273
ernst,15,9.1481
eroding,1,11.2273
eros,4,10.3111
erotic,2,10.8218
erotica,2,10.8218
errand,1,11.2273
erratic,1,11.2273
erriapus,1,11.2273
errol,7,9.8411
erroll,7,9.8411
erroneous,2,10.8218
erroneously,2,10.8218
error,7,9.8411
errors,7,9.8411
ersatz,3,10.5342
erupt,13,9.2816
erupted,13,9.2816
eruption,13,9.2816
eruptions,13,9.2816
eruptum,1,11.2273
erwin,2,10.8218
erykah,3,10.5342
erythrocytes,3,10.5342
erythromycin,2,10.8218
erythrophobia,1,11.2273
erza,1,11.2273
es,5,10.1288
esa,1,11.2273
esau,2,10.8218
escalante,1,11.2273
escalator,1,11.2273
escalivada,1,11.2273
escape,53,7.9324
escaped,53,7.9324
escapement,53,7.9324
escapes,53,7.9324
escaping,53,7.9324
escapist,1,11.2273
escargot,5,10.1288
esch,1,11.2273
eschew,2,10.8218
eschewed,2,10.8218
escobar,3,10.5342
escobars,3,10.5342
escorial,1,11.2273
escort,1,11.2273
escritoire,1,11.2273
escudo,2,10.8218
esens,1,11.2273
esk,2,10.8218
eskimo,5,10.1288
eskimos,5,10.1288
esme,2,10.8218
esmeralda,1,11.2273
esmerelda,1,11.2273
esophageal,1,11.2273
esophoria,1,11.2273
esoteric,1,11.2273
esp,1,11.2273
espa,1,11.2273
espanol,1,11.2273
especially,26,8.6251
espejo,2,10.8218
esperance,1,11.2273
esperanto,5,10.1288
espionage,1,11.2273
espirito,1,11.2273
espn,10,9.5227
espnews,1,11.2273
espns,10,9.5227
esposito,4,10.3111
espoused,1,11.2273
espresso,11,9.4357
esq,1,11.2273
esque,1,11.2273
esreh,1,11.2273
essance,1,11.2273
essay,6,9.9746
essayist,3,10.5342
essays,6,9.9746
essence,4,10.3111
essential,28,8.5536
essentially,28,8.5536
essex,2,10.8218
essling,2,10.8218
est,7,9.8411
